row_id,franchise,revenue_category,revenue,year_created,original_media,creators,owners
1,A Song of Ice and Fire /  Game of Thrones,Book sales,0.9,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
2,A Song of Ice and Fire /  Game of Thrones,Box Office,0.001,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
3,A Song of Ice and Fire /  Game of Thrones,Home Video/Entertainment,0.28,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
4,A Song of Ice and Fire /  Game of Thrones,TV,4,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
5,A Song of Ice and Fire /  Game of Thrones,Video Games/Games,0.132,1996,Novel,George R. R. Martin,Random House WarnerMedia (AT&T)
6,Aladdin,Box Office,0.76,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
7,Aladdin,Home Video/Entertainment,1,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
8,Aladdin,"Merchandise, Licensing & Retail",0.5,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
9,Aladdin,Music,0.447,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
10,Aladdin,Video Games/Games,2.2,1992,Animated film,Walt Disney Animation Hanna Diyab,The Walt Disney Company (franchise)  Sega Sammy Holdings (games/pachinko)
11,Angry Birds,Box Office,0.353,2009,Video game,Jaakko Iisalo,Rovio
12,Angry Birds,Home Video/Entertainment,0.027,2009,Video game,Jaakko Iisalo,Rovio
13,Angry Birds,"Merchandise, Licensing & Retail",8,2009,Video game,Jaakko Iisalo,Rovio
14,Angry Birds,Video Games/Games,0.1,2009,Video game,Jaakko Iisalo,Rovio
15,Anpanman,Box Office,0.067,1973,Manga,Takashi Yanase,Froebel-kan
16,Anpanman,"Merchandise, Licensing & Retail",60.025,1973,Manga,Takashi Yanase,Froebel-kan
17,Assassin's Creed,Box Office,0.241,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
18,Assassin's Creed,Home Video/Entertainment,0.012,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
19,Assassin's Creed,Video Games/Games,4,2007,Video game,Patrice Désilets Jade Raymond Corey May,Ubisoft
20,Avengers,Box Office,7,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
21,Avengers,Comic or Manga,0.131,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
22,Avengers,Home Video/Entertainment,0.459,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
23,Avengers,"Merchandise, Licensing & Retail",5,1963,Comic book,Stan Lee  Jack Kirby,Marvel Entertainment (The Walt Disney Company)
24,Barbie,Box Office,0.005,1987,Animated film,Ruth Handler,Mattel
25,Barbie,Home Video/Entertainment,1,1987,Animated film,Ruth Handler,Mattel
26,Barbie,"Merchandise, Licensing & Retail",22,1987,Animated film,Ruth Handler,Mattel
27,Batman,Box Office,4,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
28,Batman,Home Video/Entertainment,1,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
29,Batman,"Merchandise, Licensing & Retail",20,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
30,Batman,TV,0.04,1939,Comic book,Bob Kane Bill Finger,DC Entertainment (AT&T)
31,Ben 10,"Merchandise, Licensing & Retail",7,2005,Animated series,Man of Action Studios,Cartoon Network (AT&T)
32,Beyblade,Box Office,0.009,1999,Manga,Takao Aoki,Shogakukan (Hitotsubashi Group)
33,Beyblade,"Merchandise, Licensing & Retail",4,1999,Manga,Takao Aoki,Shogakukan (Hitotsubashi Group)
34,Bleach,Box Office,0.04,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
35,Bleach,Comic or Manga,6.74,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
36,Bleach,Home Video/Entertainment,0.026,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
37,Bleach,"Merchandise, Licensing & Retail",0.26,2001,Manga,Tite Kubo,Shueisha (Hitotsubashi Group) Pierrot
38,Bob the Builder,"Merchandise, Licensing & Retail",5,1998,Animated series,Keith Chapman,DHX Media
39,Call of Duty,Video Games/Games,17,2003,Video game,Infinity Ward,Activision (Activision Blizzard)
40,Candy Crush Saga,Video Games/Games,4,2012,Video game,King,King (Activision Blizzard)
41,Care Bears,Box Office,0.052,1981,Greeting card,American Greetings,American Greetings
42,Care Bears,"Merchandise, Licensing & Retail",5,1981,Greeting card,American Greetings,American Greetings
43,Cars,Box Office,2,2006,Animated film,John Lasseter,The Walt Disney Company
44,Cars,Home Video/Entertainment,0.654,2006,Animated film,John Lasseter,The Walt Disney Company
45,Cars,"Merchandise, Licensing & Retail",19,2006,Animated film,John Lasseter,The Walt Disney Company
46,CrossFire,Video Games/Games,10,2007,Video game,Smilegate,Smilegate Tencent
47,DC Extended Universe,Box Office,5,2013,Film,DC Entertainment,DC Entertainment (AT&T)
48,DC Extended Universe,Home Video/Entertainment,0.704,2013,Film,DC Entertainment,DC Entertainment (AT&T)
49,DC Extended Universe,"Merchandise, Licensing & Retail",0.5,2013,Film,DC Entertainment,DC Entertainment (AT&T)
50,Despicable Me / Minions,Box Office,3,2010,Animated film,Sergio Pablos,Illumination Entertainment Universal Pictures (Comcast)
51,Despicable Me / Minions,Home Video/Entertainment,0.686,2010,Animated film,Sergio Pablos,Illumination Entertainment Universal Pictures (Comcast)
52,Despicable Me / Minions,"Merchandise, Licensing & Retail",3,2010,Animated film,Sergio Pablos,Illumination Entertainment Universal Pictures (Comcast)
53,Detective Conan / Case Closed,Box Office,1,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
54,Detective Conan / Case Closed,Comic or Manga,4,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
55,Detective Conan / Case Closed,Home Video/Entertainment,0.134,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
56,Detective Conan / Case Closed,"Merchandise, Licensing & Retail",0.366,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
57,Detective Conan / Case Closed,Music,0.185,1994,Manga,Gosho Aoyama,Shogakukan (Hitotsubashi Group) TMS Entertainment (Sega Sammy Holdings)
58,Digimon,Box Office,0.143,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
59,Digimon,Comic or Manga,0.252,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
60,Digimon,Home Video/Entertainment,0.059,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
61,Digimon,"Merchandise, Licensing & Retail",5,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
62,Digimon,Video Games/Games,0.514,1997,Digital pet,Akiyoshi Hongo  Toei Animation  Bandai,Toei Company Bandai Namco Holdings
63,Disney Princess,Home Video/Entertainment,0.042,2000,Animated series,Andy Mooney,The Walt Disney Company
64,Disney Princess,"Merchandise, Licensing & Retail",44,2000,Animated series,Andy Mooney,The Walt Disney Company
65,Dora the Explorer,Home Video/Entertainment,0.25,2000,Animated series,Chris Gifford  Valerie Walsh Eric Weiner,Nickelodeon (Viacom)
66,Dora the Explorer,"Merchandise, Licensing & Retail",15,2000,Animated series,Chris Gifford  Valerie Walsh Eric Weiner,Nickelodeon (Viacom)
67,Doraemon,Box Office,1,1969,Manga,Fujiko F. Fujio,Shogakukan-Shueisha (Hitotsubashi Group)
68,Doraemon,"Merchandise, Licensing & Retail",5,1969,Manga,Fujiko F. Fujio,Shogakukan-Shueisha (Hitotsubashi Group)
69,Dragon Ball,Box Office,0.817,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
70,Dragon Ball,Comic or Manga,9,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
71,Dragon Ball,Home Video/Entertainment,1,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
72,Dragon Ball,"Merchandise, Licensing & Retail",5,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
73,Dragon Ball,Music,0.047,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
74,Dragon Ball,Video Games/Games,5.961,1984,Manga,Akira Toriyama,Bird Studio  Shueisha (Hitotsubashi Group) (manga) Toei Animation (anime) Bandai Namco (games)
75,Dragon Quest,Comic or Manga,4.471,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
76,Dragon Quest,Home Video/Entertainment,0.006,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
77,Dragon Quest,"Merchandise, Licensing & Retail",0.988,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
78,Dragon Quest,Video Games/Games,6,1986,Video game,Yuji Horii Koichi Nakamura  Akira Toriyama,Square Enix
79,Dungeon Fighter Online,Video Games/Games,10,2005,Video game,Neople,Nexon Tencent
