row_id,franchise,revenue_category,revenue,year_created,original_media,creators,owners
248,Strawberry Shortcake,"Merchandise, Licensing & Retail",4,1979,Greeting card,American Greetings,American Greetings
249,Street Fighter,Box Office,0.211,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
250,Street Fighter,Music,0.007,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
251,Street Fighter,Video Games/Games,11.017,1987,Video game,Takashi Nishiyama  Hiroshi Matsumoto,Capcom
252,Super Sentai / Power Rangers,Box Office,0.218,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
253,Super Sentai / Power Rangers,Home Video/Entertainment,0.015,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
254,Super Sentai / Power Rangers,"Merchandise, Licensing & Retail",29,1975,Television series,Shotaro Ishinomori Haim Saban Shuki Levy,Toei Company Hasbro
255,Superman,Box Office,3,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
256,Superman,Comic or Manga,1.087,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
257,Superman,Home Video/Entertainment,0.603,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
258,Superman,"Merchandise, Licensing & Retail",8,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
259,Superman,TV,0.428,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
260,Superman,Video Games/Games,0.034,1938,Comic book,Jerry Siegel Joe Shuster,DC Entertainment (AT&T)
261,Tamagotchi,Box Office,0.006,1996,Digital pet,Aki Maita Akihiro Yokoi Bandai,Bandai Namco Holdings
262,Tamagotchi,"Merchandise, Licensing & Retail",3,1996,Digital pet,Aki Maita Akihiro Yokoi Bandai,Bandai Namco Holdings
263,Tamagotchi,Video Games/Games,2.154,1996,Digital pet,Aki Maita Akihiro Yokoi Bandai,Bandai Namco Holdings
264,Teenage Mutant Ninja Turtles,Box Office,1,1984,Comic book,Kevin Eastman Peter Laird,Viacom
265,Teenage Mutant Ninja Turtles,Home Video/Entertainment,0.285,1984,Comic book,Kevin Eastman Peter Laird,Viacom
266,Teenage Mutant Ninja Turtles,"Merchandise, Licensing & Retail",11,1984,Comic book,Kevin Eastman Peter Laird,Viacom
267,Teenage Mutant Ninja Turtles,Video Games/Games,0.45,1984,Comic book,Kevin Eastman Peter Laird,Viacom
268,The Big Bang Theory,TV,4,2007,Television series,Chuck Lorre Bill Prady,Warner Bros. (AT&T)
269,The Hunger Games,Box Office,2,2008,Novel,Suzanne Collins,Scholastic Corporation Lionsgate
270,The Hunger Games,Home Video/Entertainment,0.475,2008,Novel,Suzanne Collins,Scholastic Corporation Lionsgate
271,The Lion King,Box Office,0.987,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
272,The Lion King,Home Video/Entertainment,1,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
273,The Lion King,"Merchandise, Licensing & Retail",3,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
274,The Lion King,Music,8,1994,Animated film,Roger Allers Rob Minkoff,The Walt Disney Company
275,The Phantom of the Opera,Box Office,0.155,1986,Musical theatre,Andrew Lloyd Webber,Andrew Lloyd Webber
276,The Phantom of the Opera,Music,6,1986,Musical theatre,Andrew Lloyd Webber,Andrew Lloyd Webber
277,The Simpsons,Box Office,0.527,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
278,The Simpsons,Home Video/Entertainment,1,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
279,The Simpsons,"Merchandise, Licensing & Retail",6,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
280,The Simpsons,TV,6,1989,Animated series,Matt Groening,20th Century Fox (The Walt Disney Company)
281,Thomas & Friends,Box Office,0.02,1946,Book,Wilbert Awdry Christopher Awdry,Egmont Group Mattel
282,Thomas & Friends,"Merchandise, Licensing & Retail",8,1946,Book,Wilbert Awdry Christopher Awdry,Egmont Group Mattel
283,Toy Story,Box Office,2,1995,Animated film,Pixar,The Walt Disney Company
284,Toy Story,Home Video/Entertainment,0.54,1995,Animated film,Pixar,The Walt Disney Company
285,Toy Story,"Merchandise, Licensing & Retail",17,1995,Animated film,Pixar,The Walt Disney Company
